file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\PROJECTS\JAVA-DesignPatterns-MultiThreading-master\JAVA-DesignPatterns-MultiThreading-master\wordTree\src\wordTree\util\FileDisplayInterface.java,wordTree.util.FileDisplayInterface,writeSchedulesToFile/1[wordTree.myTree.MyTree],false,11,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
C:\PROJECTS\JAVA-DesignPatterns-MultiThreading-master\JAVA-DesignPatterns-MultiThreading-master\wordTree\src\wordTree\threadMgmt\DeleteThread.java,wordTree.threadMgmt.DeleteThread,toString/0,false,49,0,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,false
C:\PROJECTS\JAVA-DesignPatterns-MultiThreading-master\JAVA-DesignPatterns-MultiThreading-master\wordTree\src\wordTree\threadMgmt\DeleteThread.java,wordTree.threadMgmt.DeleteThread,"DeleteThread/5[wordTree.util.FileProcessor,wordTree.util.InputProcessor,wordTree.myTree.MyTree,wordTree.store.Results,java.lang.String]",true,31,6,3,1,2,1,2,8,0,0,5,2,1,1,0,0,0,0,1,0,5,1,0,0,0,0,18,0,0,true
C:\PROJECTS\JAVA-DesignPatterns-MultiThreading-master\JAVA-DesignPatterns-MultiThreading-master\wordTree\src\wordTree\threadMgmt\DeleteThread.java,wordTree.threadMgmt.DeleteThread,run/0,false,43,3,3,0,3,1,3,4,0,0,0,3,1,1,0,0,0,0,1,0,0,1,0,0,0,0,9,1,0,true
C:\PROJECTS\JAVA-DesignPatterns-MultiThreading-master\JAVA-DesignPatterns-MultiThreading-master\wordTree\src\wordTree\threadMgmt\PopulateThread.java,wordTree.threadMgmt.PopulateThread,run/0,false,39,5,5,0,5,3,5,11,0,4,0,5,1,1,2,1,0,1,1,1,4,1,2,0,0,0,15,1,0,true
C:\PROJECTS\JAVA-DesignPatterns-MultiThreading-master\JAVA-DesignPatterns-MultiThreading-master\wordTree\src\wordTree\threadMgmt\PopulateThread.java,wordTree.threadMgmt.PopulateThread,toString/0,false,52,0,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,false
C:\PROJECTS\JAVA-DesignPatterns-MultiThreading-master\JAVA-DesignPatterns-MultiThreading-master\wordTree\src\wordTree\threadMgmt\PopulateThread.java,wordTree.threadMgmt.PopulateThread,"PopulateThread/4[wordTree.util.FileProcessor,wordTree.util.InputProcessor,wordTree.myTree.MyTree,wordTree.store.Results]",true,28,6,3,1,2,1,2,7,0,0,4,2,1,1,0,0,0,0,1,0,4,1,0,0,0,0,11,1,0,true
C:\PROJECTS\JAVA-DesignPatterns-MultiThreading-master\JAVA-DesignPatterns-MultiThreading-master\wordTree\src\wordTree\driver\Driver.java,wordTree.driver.Driver,main/1[java.lang.String[]],false,24,6,10,0,10,9,12,55,0,12,1,12,0,0,1,2,2,2,6,15,16,5,5,0,0,0,73,9,0,true
C:\PROJECTS\JAVA-DesignPatterns-MultiThreading-master\JAVA-DesignPatterns-MultiThreading-master\wordTree\src\wordTree\myTree\MyTree.java,wordTree.myTree.MyTree,toString/0,false,142,0,3,3,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,false
C:\PROJECTS\JAVA-DesignPatterns-MultiThreading-master\JAVA-DesignPatterns-MultiThreading-master\wordTree\src\wordTree\myTree\MyTree.java,wordTree.myTree.MyTree,"searchNode/2[wordTree.myTree.Node,java.lang.String]",false,84,2,7,3,4,4,5,14,4,0,2,5,1,0,0,2,0,0,0,2,0,0,1,0,0,0,14,33,0,true
C:\PROJECTS\JAVA-DesignPatterns-MultiThreading-master\JAVA-DesignPatterns-MultiThreading-master\wordTree\src\wordTree\myTree\MyTree.java,wordTree.myTree.MyTree,insert/1[java.lang.String],false,36,3,8,1,7,3,7,23,0,1,1,7,3,1,0,2,0,0,1,6,10,2,2,0,0,0,20,33,0,true
C:\PROJECTS\JAVA-DesignPatterns-MultiThreading-master\JAVA-DesignPatterns-MultiThreading-master\wordTree\src\wordTree\myTree\MyTree.java,wordTree.myTree.MyTree,delete/1[java.lang.String],false,100,3,7,1,6,4,7,12,0,1,1,7,2,1,0,3,0,0,1,5,4,2,2,0,0,0,20,33,0,true
C:\PROJECTS\JAVA-DesignPatterns-MultiThreading-master\JAVA-DesignPatterns-MultiThreading-master\wordTree\src\wordTree\myTree\MyTree.java,wordTree.myTree.MyTree,printCounts/1[java.util.ArrayList<java.lang.String>],false,135,0,1,1,0,1,2,5,0,0,1,2,0,0,0,0,0,0,3,0,0,3,0,0,0,0,15,1,0,true
C:\PROJECTS\JAVA-DesignPatterns-MultiThreading-master\JAVA-DesignPatterns-MultiThreading-master\wordTree\src\wordTree\myTree\MyTree.java,wordTree.myTree.MyTree,"insertNode/2[wordTree.myTree.Node,java.lang.String]",false,64,2,9,2,7,5,7,18,0,0,2,7,1,0,0,2,0,0,0,2,0,0,2,0,0,0,11,33,0,true
C:\PROJECTS\JAVA-DesignPatterns-MultiThreading-master\JAVA-DesignPatterns-MultiThreading-master\wordTree\src\wordTree\myTree\MyTree.java,wordTree.myTree.MyTree,getRoot/0,false,28,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,true
C:\PROJECTS\JAVA-DesignPatterns-MultiThreading-master\JAVA-DesignPatterns-MultiThreading-master\wordTree\src\wordTree\myTree\MyTree.java,wordTree.myTree.MyTree,MyTree/0,true,19,2,3,1,2,1,2,4,0,0,0,2,1,1,0,0,0,0,1,0,1,1,0,0,0,0,8,1,0,true
C:\PROJECTS\JAVA-DesignPatterns-MultiThreading-master\JAVA-DesignPatterns-MultiThreading-master\wordTree\src\wordTree\myTree\MyTree.java,wordTree.myTree.MyTree,"printNodes/2[wordTree.myTree.Node,java.util.ArrayList<java.lang.String>]",false,118,2,6,1,5,4,6,12,1,0,2,6,1,0,0,2,0,0,0,1,0,0,2,0,0,0,17,1,0,true
C:\PROJECTS\JAVA-DesignPatterns-MultiThreading-master\JAVA-DesignPatterns-MultiThreading-master\wordTree\src\wordTree\myTree\Node.java,wordTree.myTree.Node,toString/0,false,94,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,false
C:\PROJECTS\JAVA-DesignPatterns-MultiThreading-master\JAVA-DesignPatterns-MultiThreading-master\wordTree\src\wordTree\myTree\Node.java,wordTree.myTree.Node,getWord/0,false,35,0,4,4,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,true
C:\PROJECTS\JAVA-DesignPatterns-MultiThreading-master\JAVA-DesignPatterns-MultiThreading-master\wordTree\src\wordTree\myTree\Node.java,wordTree.myTree.Node,setWordCount/1[int],false,44,0,2,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,1,0,true
C:\PROJECTS\JAVA-DesignPatterns-MultiThreading-master\JAVA-DesignPatterns-MultiThreading-master\wordTree\src\wordTree\myTree\Node.java,wordTree.myTree.Node,Node/1[java.lang.String],true,22,2,4,2,2,1,2,7,0,0,1,2,1,1,0,0,0,0,1,1,4,1,0,0,0,0,9,1,0,true
C:\PROJECTS\JAVA-DesignPatterns-MultiThreading-master\JAVA-DesignPatterns-MultiThreading-master\wordTree\src\wordTree\myTree\Node.java,wordTree.myTree.Node,getWordCount/0,false,53,0,3,3,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,true
C:\PROJECTS\JAVA-DesignPatterns-MultiThreading-master\JAVA-DesignPatterns-MultiThreading-master\wordTree\src\wordTree\myTree\Node.java,wordTree.myTree.Node,getRight/0,false,80,1,3,3,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,true
C:\PROJECTS\JAVA-DesignPatterns-MultiThreading-master\JAVA-DesignPatterns-MultiThreading-master\wordTree\src\wordTree\myTree\Node.java,wordTree.myTree.Node,getLeft/0,false,62,1,3,3,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,true
C:\PROJECTS\JAVA-DesignPatterns-MultiThreading-master\JAVA-DesignPatterns-MultiThreading-master\wordTree\src\wordTree\myTree\Node.java,wordTree.myTree.Node,setRight/1[wordTree.myTree.Node],false,89,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,1,0,true
C:\PROJECTS\JAVA-DesignPatterns-MultiThreading-master\JAVA-DesignPatterns-MultiThreading-master\wordTree\src\wordTree\myTree\Node.java,wordTree.myTree.Node,setLeft/1[wordTree.myTree.Node],false,71,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,1,0,true
C:\PROJECTS\JAVA-DesignPatterns-MultiThreading-master\JAVA-DesignPatterns-MultiThreading-master\wordTree\src\wordTree\store\Results.java,wordTree.store.Results,writeToScreen/0,false,79,1,2,1,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,true
C:\PROJECTS\JAVA-DesignPatterns-MultiThreading-master\JAVA-DesignPatterns-MultiThreading-master\wordTree\src\wordTree\store\Results.java,wordTree.store.Results,writeSchedulesToFile/1[wordTree.myTree.MyTree],false,46,2,3,1,2,2,4,6,0,1,1,4,1,1,1,0,0,0,0,1,1,0,1,0,0,0,22,1,0,true
C:\PROJECTS\JAVA-DesignPatterns-MultiThreading-master\JAVA-DesignPatterns-MultiThreading-master\wordTree\src\wordTree\store\Results.java,wordTree.store.Results,Results/1[java.lang.String],true,27,2,3,1,2,1,2,5,0,0,1,2,1,1,0,0,0,0,1,0,2,1,0,0,0,0,12,1,0,true
C:\PROJECTS\JAVA-DesignPatterns-MultiThreading-master\JAVA-DesignPatterns-MultiThreading-master\wordTree\src\wordTree\store\Results.java,wordTree.store.Results,storeLine/1[java.lang.String],false,38,0,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,true
C:\PROJECTS\JAVA-DesignPatterns-MultiThreading-master\JAVA-DesignPatterns-MultiThreading-master\wordTree\src\wordTree\store\Results.java,wordTree.store.Results,toString/0,false,71,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,false
C:\PROJECTS\JAVA-DesignPatterns-MultiThreading-master\JAVA-DesignPatterns-MultiThreading-master\wordTree\src\wordTree\store\Results.java,wordTree.store.Results,writeToFile/1[java.lang.String],false,58,0,1,1,0,2,3,11,0,2,1,3,0,0,0,0,1,0,0,0,2,0,1,0,0,0,18,1,0,true
C:\PROJECTS\JAVA-DesignPatterns-MultiThreading-master\JAVA-DesignPatterns-MultiThreading-master\wordTree\src\wordTree\threadMgmt\CreateWorkers.java,wordTree.threadMgmt.CreateWorkers,"CreateWorkers/5[wordTree.util.FileProcessor,wordTree.util.InputProcessor,wordTree.myTree.MyTree,wordTree.store.Results,java.util.ArrayList<java.lang.String>]",true,33,6,3,1,2,1,2,8,0,0,5,2,1,1,0,0,0,0,1,0,5,1,0,0,0,0,14,1,0,true
C:\PROJECTS\JAVA-DesignPatterns-MultiThreading-master\JAVA-DesignPatterns-MultiThreading-master\wordTree\src\wordTree\threadMgmt\CreateWorkers.java,wordTree.threadMgmt.CreateWorkers,toString/0,false,79,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,false
C:\PROJECTS\JAVA-DesignPatterns-MultiThreading-master\JAVA-DesignPatterns-MultiThreading-master\wordTree\src\wordTree\threadMgmt\CreateWorkers.java,wordTree.threadMgmt.CreateWorkers,startDeleteWorkers/1[int],false,66,2,2,1,1,3,6,12,0,2,1,6,0,0,1,0,1,0,1,1,2,1,2,0,0,0,20,1,0,true
C:\PROJECTS\JAVA-DesignPatterns-MultiThreading-master\JAVA-DesignPatterns-MultiThreading-master\wordTree\src\wordTree\threadMgmt\CreateWorkers.java,wordTree.threadMgmt.CreateWorkers,startPopulateWorkers/1[int],false,48,2,2,1,1,3,5,12,0,2,1,5,0,0,1,0,1,0,1,1,2,1,2,0,0,0,21,1,0,true
C:\PROJECTS\JAVA-DesignPatterns-MultiThreading-master\JAVA-DesignPatterns-MultiThreading-master\wordTree\src\wordTree\util\InputProcessor.java,wordTree.util.InputProcessor,InputProcessor/0,true,12,2,3,1,2,1,2,3,0,0,0,2,1,1,0,0,0,0,1,0,0,1,0,0,0,0,3,1,0,false
C:\PROJECTS\JAVA-DesignPatterns-MultiThreading-master\JAVA-DesignPatterns-MultiThreading-master\wordTree\src\wordTree\util\InputProcessor.java,wordTree.util.InputProcessor,processInput/1[java.lang.String],false,16,0,1,1,0,1,1,4,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,8,1,0,false
C:\PROJECTS\JAVA-DesignPatterns-MultiThreading-master\JAVA-DesignPatterns-MultiThreading-master\wordTree\src\wordTree\util\InputProcessor.java,wordTree.util.InputProcessor,toString/0,false,22,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,false
C:\PROJECTS\JAVA-DesignPatterns-MultiThreading-master\JAVA-DesignPatterns-MultiThreading-master\wordTree\src\wordTree\util\FileProcessor.java,wordTree.util.FileProcessor,closeInScanner/0,false,77,0,0,0,0,2,1,6,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,5,1,0,false
C:\PROJECTS\JAVA-DesignPatterns-MultiThreading-master\JAVA-DesignPatterns-MultiThreading-master\wordTree\src\wordTree\util\FileProcessor.java,wordTree.util.FileProcessor,"FileProcessor/2[java.lang.String,java.lang.String]",true,31,2,3,1,2,4,7,24,0,1,2,7,1,1,0,2,1,0,3,2,4,1,1,0,0,0,31,1,0,true
C:\PROJECTS\JAVA-DesignPatterns-MultiThreading-master\JAVA-DesignPatterns-MultiThreading-master\wordTree\src\wordTree\util\FileProcessor.java,wordTree.util.FileProcessor,readLine/0,false,60,0,1,1,0,4,2,17,2,1,0,2,0,0,1,1,1,0,2,0,3,0,2,0,0,0,31,33,0,true
C:\PROJECTS\JAVA-DesignPatterns-MultiThreading-master\JAVA-DesignPatterns-MultiThreading-master\wordTree\src\wordTree\util\FileProcessor.java,wordTree.util.FileProcessor,toString/0,false,102,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,false
C:\PROJECTS\JAVA-DesignPatterns-MultiThreading-master\JAVA-DesignPatterns-MultiThreading-master\wordTree\src\wordTree\util\FileProcessor.java,wordTree.util.FileProcessor,writeLine/1[java.lang.String],false,89,0,0,0,0,2,3,12,0,2,1,3,0,0,0,0,2,0,1,0,2,0,2,0,0,0,17,1,0,true
C:\PROJECTS\JAVA-DesignPatterns-MultiThreading-master\JAVA-DesignPatterns-MultiThreading-master\wordTree\src\wordTree\util\MyLogger.java,wordTree.util.MyLogger,"writeMessage/2[java.lang.String,wordTree.util.MyLogger.DebugLevel]",false,50,1,13,13,0,2,1,5,0,0,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,7,9,0,false
C:\PROJECTS\JAVA-DesignPatterns-MultiThreading-master\JAVA-DesignPatterns-MultiThreading-master\wordTree\src\wordTree\util\MyLogger.java,wordTree.util.MyLogger,toString/0,false,60,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5,1,0,true
C:\PROJECTS\JAVA-DesignPatterns-MultiThreading-master\JAVA-DesignPatterns-MultiThreading-master\wordTree\src\wordTree\util\MyLogger.java,wordTree.util.MyLogger,setDebugValue/1[int],false,25,0,1,1,0,6,0,19,0,0,1,0,0,0,0,0,0,0,0,5,5,0,1,0,0,0,7,9,0,false
C:\PROJECTS\JAVA-DesignPatterns-MultiThreading-master\JAVA-DesignPatterns-MultiThreading-master\wordTree\src\wordTree\util\MyLogger.java,wordTree.util.MyLogger,setDebugValue/1[wordTree.util.MyLogger.DebugLevel],false,45,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,9,0,false
C:\PROJECTS\JAVA-DesignPatterns-MultiThreading-master\JAVA-DesignPatterns-MultiThreading-master\wordTree\src\wordTree\util\StdoutDisplayInterface.java,wordTree.util.StdoutDisplayInterface,writeToScreen/0,false,11,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
