file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\PROJECTS\Computer-Store-DP-main\Computer-Store-DP-main\src\main\java\com\learning_design_patterns\Store\TopTierComputersStore.java,com.learning_design_patterns.Store.TopTierComputersStore,notifyCustomers/1[com.learning_design_patterns.Computer.Computer],false,61,2,2,1,1,2,4,8,0,1,1,4,0,0,0,0,1,0,2,0,0,1,1,0,0,1,10,2,0,false
C:\PROJECTS\Computer-Store-DP-main\Computer-Store-DP-main\src\main\java\com\learning_design_patterns\Store\TopTierComputersStore.java,com.learning_design_patterns.Store.TopTierComputersStore,getSubscribedCustomers/0,false,94,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\PROJECTS\Computer-Store-DP-main\Computer-Store-DP-main\src\main\java\com\learning_design_patterns\Store\TopTierComputersStore.java,com.learning_design_patterns.Store.TopTierComputersStore,TopTierComputersStore/0,true,19,1,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,2,0,false
C:\PROJECTS\Computer-Store-DP-main\Computer-Store-DP-main\src\main\java\com\learning_design_patterns\Store\TopTierComputersStore.java,com.learning_design_patterns.Store.TopTierComputersStore,orderNewRandomComputerFromRandomFactory/0,false,74,5,6,1,5,2,4,12,0,2,0,4,2,1,0,0,0,0,0,0,3,0,1,0,0,0,15,1,0,false
C:\PROJECTS\Computer-Store-DP-main\Computer-Store-DP-main\src\main\java\com\learning_design_patterns\Store\TopTierComputersStore.java,com.learning_design_patterns.Store.TopTierComputersStore,unsubscribe/1[com.learning_design_patterns.Customer.Customer],false,46,1,1,1,0,1,3,4,0,0,1,3,0,0,0,0,0,0,2,0,0,1,0,0,0,0,6,1,0,false
C:\PROJECTS\Computer-Store-DP-main\Computer-Store-DP-main\src\main\java\com\learning_design_patterns\Store\TopTierComputersStore.java,com.learning_design_patterns.Store.TopTierComputersStore,removePC/1[com.learning_design_patterns.Computer.Computer],false,56,1,1,1,0,1,3,4,0,0,1,3,0,0,0,0,0,0,2,0,0,1,0,0,0,0,7,1,0,false
C:\PROJECTS\Computer-Store-DP-main\Computer-Store-DP-main\src\main\java\com\learning_design_patterns\Store\TopTierComputersStore.java,com.learning_design_patterns.Store.TopTierComputersStore,getInstance/0,false,24,1,2,1,1,3,1,11,1,0,0,1,0,0,0,2,0,0,1,0,1,0,3,0,0,0,8,9,0,false
C:\PROJECTS\Computer-Store-DP-main\Computer-Store-DP-main\src\main\java\com\learning_design_patterns\Store\TopTierComputersStore.java,com.learning_design_patterns.Store.TopTierComputersStore,subscribe/1[com.learning_design_patterns.Customer.Customer],false,41,1,1,1,0,1,3,4,0,0,1,3,0,0,0,0,0,0,2,0,0,1,0,0,0,0,6,1,0,false
C:\PROJECTS\Computer-Store-DP-main\Computer-Store-DP-main\src\main\java\com\learning_design_patterns\Store\TopTierComputersStore.java,com.learning_design_patterns.Store.TopTierComputersStore,getAvailableCumputers/0,false,98,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\PROJECTS\Computer-Store-DP-main\Computer-Store-DP-main\src\main\java\com\learning_design_patterns\Store\TopTierComputersStore.java,com.learning_design_patterns.Store.TopTierComputersStore,addPC/1[com.learning_design_patterns.Computer.Computer],false,51,1,1,1,0,1,3,4,0,0,1,3,0,0,0,0,0,0,2,0,0,1,0,0,0,0,7,2,0,false
C:\PROJECTS\Computer-Store-DP-main\Computer-Store-DP-main\src\main\java\com\learning_design_patterns\Customer\Customer.java,com.learning_design_patterns.Customer.Customer,newPcAvailable/1[com.learning_design_patterns.Computer.Computer],false,30,2,5,1,4,3,9,8,0,0,1,9,0,0,0,0,0,0,2,0,0,1,1,0,0,0,7,1,0,false
C:\PROJECTS\Computer-Store-DP-main\Computer-Store-DP-main\src\main\java\com\learning_design_patterns\Customer\Customer.java,com.learning_design_patterns.Customer.Customer,getMyComputer/0,false,26,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\PROJECTS\Computer-Store-DP-main\Computer-Store-DP-main\src\main\java\com\learning_design_patterns\Customer\Customer.java,com.learning_design_patterns.Customer.Customer,Customer/0,true,12,1,2,1,1,1,1,3,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\PROJECTS\Computer-Store-DP-main\Computer-Store-DP-main\src\main\java\com\learning_design_patterns\Customer\Customer.java,com.learning_design_patterns.Customer.Customer,requestComputer/0,false,17,2,4,1,3,1,6,5,0,1,0,6,0,0,0,0,0,0,3,0,2,1,0,0,0,0,16,1,0,false
C:\PROJECTS\Computer-Store-DP-main\Computer-Store-DP-main\src\main\java\com\learning_design_patterns\Customer\Icustomer.java,com.learning_design_patterns.Customer.Icustomer,requestComputer/0,false,5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
